Category,Question,Response
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to setup 2usb flashing in my cluster ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,how to perform 2 usb flashing in my SUT?,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,Method do setup 2usb in my cluster ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to setup 2usb flashing in my cluster ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to enable 2 usb flashing in my SUT ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to enable 2 usb flashing in my SUT ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,What is the criteria for 2usb flashing? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,2 usb flashing bkm ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,how to perform 2 usb flashing in my SUT?,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,How to do 2 usb flashing for my system ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,2 usb flashing bkm ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,How to do 2 usb flashing for my system ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,Setup 2 usb flashing ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,Method do setup 2usb in my cluster ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,my system wants to perform 2usb flashing,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,2 usb flashing bkm ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,how to perform 2 usb flashing in my SUT?,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to enable 2 usb flashing in my SUT ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,how to perform 2 usb flashing in my SUT?,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,How to do 2 usb flashing for my system ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,I want to enable 2 usb flashing in my SUT ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,my system wants to perform 2usb flashing,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,my system wants to perform 2usb flashing,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,2 usb flashing bkm ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,Setup 2 usb flashing ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 7,can you share me 2usb flashing bkm? ,"To setup 2usb flashing, these are the steps: 
1. Connect 1 lubuntu pendrive or uos pendrive.
2. Make sure serial cable is readable from NUC. 
3. Testbed data is synced. 
4. Make sure ""flash_helper_script"" and STAR are installed in your host machine.

Once it fullfilled all the requirement, your host machine is ready to perform 2usb flashing. "
RBF-Debug - 8,why my 2usb flashing is fail ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,how to fix 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,2 usb flashing is failed ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,why my 2usb flashing is fail ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,how to fix 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,why my 2usb flashing is fail ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,unsucessful 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,Im facing issue on 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,why my 2usb flashing is fail ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,unsucessful 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,Im facing issue on 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,Im facing issue on 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,method to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I cant do 2usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,how to fix 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,2 usb flashing is failed ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,2 usb flashing is failed ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,2 usb flashing is failed ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,Im facing issue on 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,why my 2usb flashing is fail ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,there is problem at 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,2 usb flashing is failed ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,Im facing issue on 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,unsucessful 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,how to fix 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,I facing serial failure in my 2 usb flashing script ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,how to fix 2usb flashing issue ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 8,need help to fix 2 usb flashing ,"There is few posibility which causing 2usb flashing failure. 
1. Lubuntu drive or uos drive is corrupted or absent.
2. Serial connection is not readable.
3. Testbed data is not synced.
4. No internet connection at SUT. 

For further troubleshooting, kindly file ticket to RBF. "
RBF-Debug - 9,Automation Flashing with helper script for 68460,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
RBF-Debug - 9,Automation Flashing with helper script for 68460,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
RBF-Debug - 9,Flashing IFWI always giving verify failed in RBF 68308,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
RBF-Debug - 9,Automation TTK3 flashing for 68648,"There is few possibility causing this issue.
1. Testbed data incorrect. 
2. bootfile details in DDI is incorrect. 
3. Invalid BKM/ ifwi link 
4. Serial cable is not readable. 

Please ensure all the criteria is fullfilled. 

If the issue still exists, kindly file a ticket to RBF for further troubleshooting.  

"
